timestamp,model,is_final,seed,val_loss_gpt-345m,wikitext2_ppl_gpt-345m,lambada_ppl_gpt-345m,elapsed_gpt-345m,arc_easy_lm-eval-345m,hellaswag_lm-eval-345m,piqa_lm-eval-345m,winogrande_lm-eval-345m,elapsed_lm-eval-345m
2026-04-08T05:35:01.888121+00:00,baseline:lion,true,42,2.2028,38.96,60.05,21680,58.21,35.64,65.45,51.62,376
2026-04-08T15:12:06.875488+00:00,baseline:adamw_nesterov,true,42,2.3231,46.96,71.82,20324,55.18,32.75,63.98,51.38,376
2026-04-13T07:17:59.857157+00:00,baseline:muon,true,42,2.1995,37.98,60.08,20923,60.19,36.85,64.15,52.17,389
2026-04-16T13:07:50.150042+00:00,gemini-3.1-pro-preview,false,42,2.2217,39.11,62.34,21079.0,60.1,35.41,64.96,50.75,385.0
2026-04-17T05:56:39.874476+00:00,gpt-5.4,false,42,2.2547,42.42,67.94,37122,57.91,34.05,63.71,51.14,392
2026-04-18T03:38:36.150035+00:00,claude-opus-4.6,false,42,2.2001,37.63,59.71,37939,60.14,36.88,64.31,53.04,394
2026-04-18T08:46:24.623582+00:00,qwen3.6-plus,false,42,6.9807,5585.83,4826.54,36929,29.0,25.31,50.87,49.17,388
2026-04-18T08:51:50.951853+00:00,deepseek-reasoner,false,42,2.3099,45.12,69.37,36730,53.62,32.81,63.17,51.38,384
2026-04-18T08:51:50.951853+00:00,deepseek-reasoner,true,42,2.3099,45.12,69.37,36730,53.62,32.81,63.17,51.38,384
2026-04-20T15:36:53.881147+00:00,claude-opus-4.6,false,42,2.221,39.78,61.8,21157,58.71,35.95,64.47,49.25,386
2026-04-20T15:36:53.881147+00:00,claude-opus-4.6,true,42,2.221,39.78,61.8,21157,58.71,35.95,64.47,49.25,386
2026-04-20T15:36:53.893647+00:00,gemini-3.1-pro-preview,false,42,2.1978,38.2,59.71,21258,59.47,36.77,65.13,51.62,386
2026-04-20T15:36:53.893647+00:00,gemini-3.1-pro-preview,true,42,2.1978,38.2,59.71,21258,59.47,36.77,65.13,51.62,386
2026-04-20T15:36:53.899754+00:00,gpt-5.4,false,42,2.2854,45.09,70.06,20903,55.13,33.01,63.66,49.57,392
2026-04-20T15:36:53.899768+00:00,gpt-5.4,false,42,2.247,42.02,64.97,21130,57.15,33.98,64.47,48.86,385
2026-04-20T15:36:53.899768+00:00,gpt-5.4,true,42,2.247,42.02,64.97,21130,57.15,33.98,64.47,48.86,385
2026-04-20T15:36:53.906568+00:00,qwen3.6-plus,false,42,2.231,40.39,62.83,23504,59.72,35.77,63.93,52.41,393
2026-04-20T15:36:53.906582+00:00,qwen3.6-plus,false,42,8.6099,31606.59,7139.16,20563,59.72,35.77,63.93,52.41,393
2026-04-20T15:36:53.906597+00:00,qwen3.6-plus,false,42,2.1733,37.14,59.58,20797,59.64,37.01,65.89,52.41,390
2026-04-20T15:36:53.906597+00:00,qwen3.6-plus,true,42,2.1733,37.14,59.58,20797,59.64,37.01,65.89,52.41,390
2026-07-18T04:49:03.823049+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T04:49:27.006134+00:00,baseline:adamw_nesterov,false,1,,,,,,,,,
2026-07-18T04:49:38.937417+00:00,baseline:muon,false,1,,,,,,,,,
2026-07-18T04:49:51.602871+00:00,baseline:lion,false,1,,,,,,,,,
2026-07-18T04:53:17.046402+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T04:58:26.383906+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T04:58:33.146419+00:00,claude-fable-5__base:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-18T11:08:20.923673+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T11:14:53.797831+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T11:16:54.628129+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T11:16:59.490996+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T11:17:40.801823+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T11:18:08.611763+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T11:18:47.727401+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T11:23:02.964681+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T11:24:56.061692+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T11:28:57.394228+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T11:33:10.815470+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T11:33:25.232666+00:00,claude-fable-5__sft8b:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-18T11:35:30.389800+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T11:24:56.076652+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,,,,,,,,,
2026-07-18T11:35:37.300923+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,,,,,,,,,
